Date,Open,High,Low,Close,Adj Close,Volume
2017-02-23,39020.000000,39440.000000,39020.000000,39180.000000,34153.824219,10217300
2017-02-24,38960.000000,39100.000000,38060.000000,38220.000000,33316.984375,9296850
2017-02-27,38020.000000,38140.000000,37700.000000,38060.000000,33177.511719,9033700
2017-02-28,38060.000000,38760.000000,37960.000000,38440.000000,33508.753906,15088700
2017-03-02,38420.000000,39860.000000,38420.000000,39720.000000,34624.554688,21249800
2017-03-03,39340.000000,39720.000000,39160.000000,39620.000000,34537.386719,12708700
2017-03-06,39220.000000,40220.000000,39220.000000,40080.000000,34938.378906,12234850
2017-03-07,39800.000000,40320.000000,39800.000000,40200.000000,35042.988281,10553250
2017-03-08,40200.000000,40620.000000,40140.000000,40200.000000,35042.988281,12140950
2017-03-09,40200.000000,40300.000000,40020.000000,40200.000000,35042.988281,14372250
2017-03-10,39960.000000,40420.000000,39860.000000,40180.000000,35025.554688,10227800
2017-03-13,40040.000000,40980.000000,40040.000000,40600.000000,35391.660156,7424100
2017-03-14,40620.000000,41540.000000,40500.000000,41360.000000,36054.171875,11325050
2017-03-15,40800.000000,41440.000000,40800.000000,41400.000000,36089.042969,9587850
2017-03-16,41800.000000,42180.000000,41540.000000,41840.000000,36472.589844,9933150
2017-03-17,41800.000000,42500.000000,41720.000000,42400.000000,36960.757813,12602300
2017-03-20,42000.000000,42120.000000,41740.000000,41900.000000,36524.894531,10250050
2017-03-21,41780.000000,42680.000000,41760.000000,42560.000000,37100.234375,14220150
2017-03-22,41600.000000,42460.000000,41580.000000,42460.000000,37013.046875,16427250
2017-03-23,42200.000000,42360.000000,41700.000000,41800.000000,36437.734375,15397100
2017-03-24,41600.000000,41980.000000,41080.000000,41500.000000,36176.203125,12808150
2017-03-27,41200.000000,41880.000000,41180.000000,41200.000000,35914.691406,12177650
2017-03-28,41560.000000,41840.000000,41380.000000,41480.000000,36158.785156,8216250
2017-03-29,41740.000000,41960.000000,41580.000000,41780.000000,36420.292969,10093250
2017-03-30,41880.000000,42440.000000,41880.000000,41980.000000,36717.671875,8204000
2017-03-31,41820.000000,42020.000000,41200.000000,41200.000000,36035.445313,10500300
2017-04-03,41400.000000,41720.000000,41300.000000,41440.000000,36245.363281,9579400
2017-04-04,41600.000000,42180.000000,41520.000000,42080.000000,36805.132813,12255500
2017-04-05,41900.000000,42240.000000,41700.000000,42140.000000,36857.613281,10699700
2017-04-06,42000.000000,42080.000000,41600.000000,41840.000000,36595.222656,9683400
2017-04-07,41800.000000,41820.000000,41160.000000,41600.000000,36385.300781,10021000
2017-04-10,41940.000000,41940.000000,41500.000000,41940.000000,36682.683594,7141350
2017-04-11,41940.000000,41940.000000,41580.000000,41600.000000,36385.300781,7172900
2017-04-12,41860.000000,41940.000000,41700.000000,41900.000000,36647.699219,8274900
2017-04-13,41660.000000,42460.000000,41660.000000,42420.000000,37102.523438,9040800
2017-04-14,42160.000000,42260.000000,41760.000000,42020.000000,36752.664063,5462850
2017-04-17,42000.000000,42080.000000,41520.000000,41560.000000,36350.324219,5224750
2017-04-18,41680.000000,41820.000000,41280.000000,41500.000000,36297.843750,6860650
2017-04-19,41300.000000,41420.000000,40900.000000,40900.000000,35773.054688,11762900
2017-04-20,40580.000000,40800.000000,40080.000000,40280.000000,35230.769531,21148850
2017-04-21,40480.000000,41400.000000,40480.000000,40760.000000,35650.601563,15130500
2017-04-24,41260.000000,41260.000000,40920.000000,41240.000000,36070.441406,8990150
2017-04-25,41460.000000,42740.000000,41320.000000,42700.000000,37347.414063,19299600
2017-04-26,42700.000000,42800.000000,42520.000000,42800.000000,37434.882813,14794800
2017-04-27,42700.000000,44520.000000,41960.000000,43840.000000,38344.515625,23032250
2017-04-28,45780.000000,45800.000000,44520.000000,44620.000000,39026.742188,22685700
2017-05-02,45500.000000,45500.000000,44760.000000,44900.000000,39271.644531,14068300
2017-05-04,45700.000000,45700.000000,44860.000000,45520.000000,39813.921875,13690100
2017-05-08,45520.000000,47020.000000,45340.000000,47020.000000,41125.898438,19582550
2017-05-10,46160.000000,47220.000000,45600.000000,45600.000000,39883.894531,23410950
2017-05-11,45420.000000,46180.000000,45220.000000,45500.000000,39796.429688,21277850
2017-05-12,45760.000000,46160.000000,45660.000000,45820.000000,40076.316406,9422900
2017-05-15,45620.000000,46280.000000,45620.000000,46100.000000,40321.214844,8001400
2017-05-16,46660.000000,46800.000000,46100.000000,46380.000000,40566.113281,8803750
2017-05-17,46120.000000,46640.000000,46100.000000,46340.000000,40531.132813,7424450
2017-05-18,45740.000000,46000.000000,45540.000000,45940.000000,40181.273438,11160350
2017-05-19,45640.000000,45780.000000,44720.000000,44720.000000,39114.207031,15762350
2017-05-22,45040.000000,45380.000000,44760.000000,45100.000000,39446.570313,17643550
2017-05-23,45400.000000,45580.000000,44900.000000,44920.000000,39289.132813,12607050
2017-05-24,44860.000000,45300.000000,44800.000000,44880.000000,39254.144531,8675400
2017-05-25,45160.000000,45680.000000,44800.000000,45680.000000,39953.863281,13044800
2017-05-26,45600.000000,46460.000000,45540.000000,46080.000000,40303.726563,13613650
2017-05-29,46220.000000,46400.000000,45380.000000,45620.000000,39901.378906,8739550
2017-05-30,45520.000000,45660.000000,44480.000000,44640.000000,39044.234375,12433600
2017-05-31,44580.000000,45020.000000,44400.000000,44700.000000,39096.714844,18669100
2017-06-01,44860.000000,44900.000000,44400.000000,44680.000000,39079.218750,9753500
2017-06-02,45060.000000,45960.000000,45000.000000,45960.000000,40198.761719,12488750
2017-06-05,46040.000000,46360.000000,45720.000000,45940.000000,40181.273438,7599400
2017-06-07,46500.000000,46500.000000,45240.000000,45300.000000,39621.500000,13729400
2017-06-08,45000.000000,45580.000000,45000.000000,45160.000000,39499.050781,13978750
2017-06-09,45680.000000,46440.000000,45600.000000,46100.000000,40321.214844,11732850
2017-06-12,45420.000000,45600.000000,45140.000000,45380.000000,39691.468750,10954300
2017-06-13,45140.000000,45620.000000,45140.000000,45400.000000,39708.960938,8624900
2017-06-14,45800.000000,46060.000000,45240.000000,45360.000000,39673.984375,10166700
2017-06-15,45680.000000,45920.000000,45180.000000,45680.000000,39953.863281,9657000
2017-06-16,45500.000000,45940.000000,45460.000000,45580.000000,39866.398438,17403450
2017-06-19,45580.000000,46560.000000,45560.000000,46560.000000,40723.546875,11303900
2017-06-20,47240.000000,48140.000000,47220.000000,48140.000000,42105.496094,15045000
2017-06-21,47740.000000,48120.000000,47480.000000,47480.000000,41528.234375,9973650
2017-06-22,47960.000000,48080.000000,47720.000000,47960.000000,41948.062500,11455800
2017-06-23,47600.000000,47780.000000,47420.000000,47620.000000,41650.675781,9515100
2017-06-26,47520.000000,48360.000000,47520.000000,48280.000000,42227.953125,8552800
2017-06-27,48220.000000,48400.000000,47900.000000,48300.000000,42245.441406,9616750
2017-06-28,47600.000000,48000.000000,47560.000000,47700.000000,41720.648438,9572500
2017-06-29,48040.000000,48320.000000,47940.000000,47940.000000,42053.984375,8306550
2017-06-30,47500.000000,47620.000000,47100.000000,47540.000000,41703.109375,11877550
2017-07-03,47500.000000,47780.000000,47120.000000,47220.000000,41422.402344,6805550
2017-07-04,47160.000000,47400.000000,46900.000000,47000.000000,41229.414063,7961000
2017-07-05,46820.000000,47680.000000,46780.000000,47580.000000,41738.199219,10640250
2017-07-06,48000.000000,48100.000000,47720.000000,48060.000000,42159.257813,10923050
2017-07-07,47740.000000,48120.000000,47620.000000,47860.000000,41983.820313,8131900
2017-07-10,48500.000000,48900.000000,48320.000000,48660.000000,42685.597656,10792750
2017-07-11,48640.000000,49000.000000,48280.000000,49000.000000,42983.847656,9717800
2017-07-12,49000.000000,50000.000000,48840.000000,49880.000000,43755.800781,9486150
